FID	IID	Pop_inferred
1456	NA12828	EUR
1456	NA12829	EUR
1456	NA12830	EUR
1458	NA12832	EUR
1458	NA12842	EUR
1458	NA12843	EUR
1459	NA12864	EUR
1459	NA12865	EUR
1459	NA12872	EUR
1459	NA12873	EUR
1459	NA12874	EUR
1459	NA12875	EUR
1463	NA12877	EUR
1463	NA12878	EUR
1463	NA12889	EUR
1463	NA12890	EUR
1463	NA12891	EUR
1463	NA12892	EUR
NA18525	NA18525	EAS
NA18526	NA18526	EAS
NA18527	NA18527	EAS
NA18528	NA18528	EAS
NA18530	NA18530	EAS
NA18531	NA18531	EAS
NA18532	NA18532	EAS
NA18533	NA18533	EAS
NA18534	NA18534	EAS
NA18535	NA18535	EAS
NA18536	NA18536	EAS
NA18537	NA18537	EAS
NA18538	NA18538	EAS
NA18539	NA18539	EAS
NA18541	NA18541	EAS
NA18542	NA18542	EAS
NA18543	NA18543	EAS
NA18544	NA18544	EAS
NA18545	NA18545	EAS
NA18546	NA18546	EAS
NA18547	NA18547	EAS
NA18548	NA18548	EAS
NA18549	NA18549	EAS
NA18550	NA18550	EAS
NA18552	NA18552	EAS
NA18553	NA18553	EAS
NA18555	NA18555	EAS
NA18557	NA18557	EAS
NA18558	NA18558	EAS
NA18559	NA18559	EAS
NA18560	NA18560	EAS
NA18561	NA18561	EAS
NA18562	NA18562	EAS
NA18563	NA18563	EAS
NA18564	NA18564	EAS
NA18565	NA18565	EAS
NA18566	NA18566	EAS
NA18567	NA18567	EAS
NA18570	NA18570	EAS
NA18571	NA18571	EAS
NA18572	NA18572	EAS
NA18573	NA18573	EAS
NA18574	NA18574	EAS
NA18576	NA18576	EAS
NA18577	NA18577	EAS
NA18579	NA18579	EAS
NA18582	NA18582	EAS
NA18591	NA18591	EAS
NA18592	NA18592	EAS
NA18593	NA18593	EAS
NA18595	NA18595	EAS
NA18596	NA18596	EAS
NA18597	NA18597	EAS
NA18599	NA18599	EAS
NA18602	NA18602	EAS
NA18603	NA18603	EAS
NA18605	NA18605	EAS
NA18606	NA18606	EAS
NA18608	NA18608	EAS
NA18609	NA18609	EAS
NA18610	NA18610	EAS
NA18611	NA18611	EAS
NA18612	NA18612	EAS
NA18613	NA18613	EAS
NA18614	NA18614	EAS
NA18615	NA18615	EAS
NA18616	NA18616	EAS
NA18617	NA18617	EAS
NA18618	NA18618	EAS
NA18619	NA18619	EAS
NA18620	NA18620	EAS
NA18621	NA18621	EAS
NA18622	NA18622	EAS
NA18623	NA18623	EAS
NA18624	NA18624	EAS
NA18625	NA18625	EAS
NA18626	NA18626	EAS
NA18627	NA18627	EAS
NA18628	NA18628	EAS
NA18629	NA18629	EAS
NA18630	NA18630	EAS
NA18631	NA18631	EAS
