FID	IID	Pop	#IID	PAT	MAT	SEX	SuperPop	Population
BD58	HG04173	BEB	HG04173	0	0	1.0	SAS	BEB
BD58	HG04174	BEB						
BD58	HG04175	BEB						
BD59	HG04176	BEB	HG04176	0	0	1.0	SAS	BEB
BD59	HG04177	BEB	HG04177	0	0	2.0	SAS	BEB
BD6	HG03593	BEB	HG03593	0	0	1.0	SAS	BEB
BD60	HG04180	BEB	HG04180	0	0	2.0	SAS	BEB
BD60	HG04181	BEB						
BD61	HG04182	BEB	HG04182	0	0	1.0	SAS	BEB
BD61	HG04183	BEB	HG04183	0	0	2.0	SAS	BEB
BD61	HG04184	BEB						
BD62	HG04185	BEB	HG04185	0	0	1.0	SAS	BEB
BD62	HG04186	BEB	HG04186	0	0	2.0	SAS	BEB
BD62	HG04187	BEB						
BD63	HG04188	BEB	HG04188	0	0	1.0	SAS	BEB
BD63	HG04189	BEB	HG04189	0	0	2.0	SAS	BEB
BD64	HG04191	BEB						
BD64	HG04192	BEB						
BD64	HG04193	BEB						
BD65	HG04194	BEB	HG04194	0	0	1.0	SAS	BEB
BD65	HG04195	BEB	HG04195	0	0	2.0	SAS	BEB
BD7	HG03594	BEB	HG03594	0	0	1.0	SAS	BEB
BD7	HG03595	BEB	HG03595	0	0	2.0	SAS	BEB
BD7	HG03596	BEB						
BD8	HG03598	BEB	HG03598	0	0	2.0	SAS	BEB
BD8	HG03599	BEB						
HG03009	HG03009	BEB	HG03009	0	0	1.0	SAS	BEB
HG03812	HG03812	BEB	HG03812	0	0	1.0	SAS	BEB
HG03902	HG03902	BEB	HG03902	0	0	1.0	SAS	BEB
HG03916	HG03916	BEB	HG03916	0	0	2.0	SAS	BEB
CDX1	HG00866	CDX						
CDX1	HG00867	CDX	HG00867	0	0	2.0	EAS	CDX
CDX2	HG02371	CDX	HG02371	0	0	1.0	EAS	CDX
CDX2	HG02372	CDX						
HG00759	HG00759	CDX	HG00759	0	0	2.0	EAS	CDX
HG00766	HG00766	CDX	HG00766	0	0	2.0	EAS	CDX
HG00844	HG00844	CDX	HG00844	0	0	1.0	EAS	CDX
HG00851	HG00851	CDX	HG00851	0	0	2.0	EAS	CDX
HG00864	HG00864	CDX	HG00864	0	0	2.0	EAS	CDX
HG00879	HG00879	CDX	HG00879	0	0	2.0	EAS	CDX
HG00881	HG00881	CDX	HG00881	0	0	1.0	EAS	CDX
HG00956	HG00956	CDX	HG00956	0	0	2.0	EAS	CDX
HG00978	HG00978	CDX	HG00978	0	0	2.0	EAS	CDX
HG00982	HG00982	CDX	HG00982	0	0	1.0	EAS	CDX
HG00983	HG00983	CDX						
HG01028	HG01028	CDX	HG01028	0	0	1.0	EAS	CDX
HG01029	HG01029	CDX	HG01029	0	0	2.0	EAS	CDX
HG01031	HG01031	CDX	HG01031	0	0	1.0	EAS	CDX
HG01046	HG01046	CDX	HG01046	0	0	2.0	EAS	CDX
HG01794	HG01794	CDX	HG01794	0	0	2.0	EAS	CDX
HG01795	HG01795	CDX	HG01795	0	0	2.0	EAS	CDX
HG01796	HG01796	CDX	HG01796	0	0	2.0	EAS	CDX
HG01797	HG01797	CDX	HG01797	0	0	2.0	EAS	CDX
HG01798	HG01798	CDX	HG01798	0	0	2.0	EAS	CDX
HG01799	HG01799	CDX	HG01799	0	0	2.0	EAS	CDX
HG01800	HG01800	CDX	HG01800	0	0	2.0	EAS	CDX
HG01801	HG01801	CDX	HG01801	0	0	2.0	EAS	CDX
HG01802	HG01802	CDX	HG01802	0	0	2.0	EAS	CDX
HG01804	HG01804	CDX	HG01804	0	0	2.0	EAS	CDX
HG01805	HG01805	CDX	HG01805	0	0	2.0	EAS	CDX
HG01806	HG01806	CDX	HG01806	0	0	2.0	EAS	CDX
HG01807	HG01807	CDX	HG01807	0	0	2.0	EAS	CDX
HG01808	HG01808	CDX	HG01808	0	0	2.0	EAS	CDX
HG01809	HG01809	CDX	HG01809	0	0	2.0	EAS	CDX
HG01810	HG01810	CDX	HG01810	0	0	1.0	EAS	CDX
HG01811	HG01811	CDX	HG01811	0	0	1.0	EAS	CDX
HG01812	HG01812	CDX	HG01812	0	0	2.0	EAS	CDX
HG01813	HG01813	CDX	HG01813	0	0	2.0	EAS	CDX
HG01815	HG01815	CDX	HG01815	0	0	2.0	EAS	CDX
HG01816	HG01816	CDX	HG01816	0	0	1.0	EAS	CDX
HG01817	HG01817	CDX	HG01817	0	0	2.0	EAS	CDX
HG02151	HG02151	CDX	HG02151	0	0	2.0	EAS	CDX
HG02152	HG02152	CDX	HG02152	0	0	2.0	EAS	CDX
HG02153	HG02153	CDX	HG02153	0	0	2.0	EAS	CDX
HG02154	HG02154	CDX	HG02154	0	0	2.0	EAS	CDX
HG02155	HG02155	CDX	HG02155	0	0	2.0	EAS	CDX
HG02156	HG02156	CDX	HG02156	0	0	2.0	EAS	CDX
HG02164	HG02164	CDX	HG02164	0	0	2.0	EAS	CDX
HG02165	HG02165	CDX	HG02165	0	0	2.0	EAS	CDX
HG02166	HG02166	CDX	HG02166	0	0	2.0	EAS	CDX
HG02168	HG02168	CDX						
HG02169	HG02169	CDX						
HG02170	HG02170	CDX						
HG02173	HG02173	CDX						
HG02176	HG02176	CDX						
HG02178	HG02178	CDX	HG02178	0	0	2.0	EAS	CDX
HG02179	HG02179	CDX	HG02179	0	0	2.0	EAS	CDX
HG02180	HG02180	CDX	HG02180	0	0	2.0	EAS	CDX
HG02181	HG02181	CDX	HG02181	0	0	2.0	EAS	CDX
HG02182	HG02182	CDX	HG02182	0	0	2.0	EAS	CDX
HG02184	HG02184	CDX	HG02184	0	0	2.0	EAS	CDX
HG02185	HG02185	CDX	HG02185	0	0	2.0	EAS	CDX
HG02186	HG02186	CDX	HG02186	0	0	2.0	EAS	CDX
HG02187	HG02187	CDX	HG02187	0	0	2.0	EAS	CDX
HG02188	HG02188	CDX	HG02188	0	0	2.0	EAS	CDX
HG02189	HG02189	CDX						
HG02190	HG02190	CDX	HG02190	0	0	2.0	EAS	CDX
HG02250	HG02250	CDX	HG02250	0	0	1.0	EAS	CDX
HG02351	HG02351	CDX	HG02351	0	0	1.0	EAS	CDX
HG02353	HG02353	CDX	HG02353	0	0	1.0	EAS	CDX
